Start (s),End (s),Scientific name,Common name,Confidence,File
3,6,Neobatrachus sudelli,Sudells Frog,0.5043,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_054000.WAV
42,45,Limnodynastes tasmaniensis,Spotted Marsh Frog,0.5379,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_054000.WAV
0,3,Neobatrachus sudelli,Sudells Frog,0.5466,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_054100.WAV
33,36,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5907,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_054500.WAV
42,45,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5248,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_054500.WAV
54,57,Limnodynastes dumerilii,Pobblebonk,0.6793,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_054500.WAV
9,12,Crinia signifera,Common Eastern Froglet,0.5629,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_054700.WAV
24,27,Limnodynastes dumerilii,Pobblebonk,0.6011,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_054700.WAV
48,51,Neobatrachus sudelli,Sudells Frog,0.5463,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_054700.WAV
54,57,Limnodynastes tasmaniensis,Spotted Marsh Frog,0.5666,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_054700.WAV
12,15,Limnodynastes dumerilii,Pobblebonk,0.5017,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_055500.WAV
24,27,Neobatrachus sudelli,Sudells Frog,0.7916,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_055500.WAV
36,39,Limnodynastes tasmaniensis,Spotted Marsh Frog,0.5661,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_055500.WAV
48,51,Crinia signifera,Common Eastern Froglet,0.5129,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_055500.WAV
54,57,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5253,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_055500.WAV
12,15,Neobatrachus sudelli,Sudells Frog,0.5699,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_055800.WAV
15,18,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.8072,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_055800.WAV
